Comment,Description,Designator,Footprint,LibRef,Quantity,,商品编号,商品分类,名称,商品型号,品牌,封装规格,每套数量,合计,,购买数量,商品单价,金额
LED-0603_W,,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21",LED0603-FD_WHITE,LED-0603_W,21,,C434422,发光二极管,白光,SZYY0603W,yongyu(永裕光电),603,21,1.60902,,250,0.07662,￥19.16
2N7002,,"Q1, Q4, Q5",SOT-23_L2.9-W1.3-P0.95-LS2.4-BR,2N7002,3,,C8545,场效应管(MOSFET),N沟道 60V 115mA,2N7002,CJ（江苏长电/长晶）,SOT-23(SOT-23-3),3,0.469026,,40,0.156342,￥6.25
CJ2301 S1,,Q2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,CJ2301 S1,1,,C8547,场效应管(MOSFET),P沟道 20V 2.3A,CJ2301 S1,CJ（江苏长电/长晶）,SOT-23(SOT-23-3),1,0.299096,,10,0.299096,￥2.99
SS8050,,Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,SS8050,1,,C908250,三极管(BJT),NPN 25V 1.5A,SS8050,FUXINSEMI(富芯森美),SOT-23,1,0.098093,,50,0.098093,￥4.90
100R,,"R1, R3, R4, R29, R32",R0603,100R,5,,C105588,贴片电阻,100Ω ±1% 100mW,RC0603FR-07100RL,YAGEO(国巨),603,5,0.03212,,200,0.006424,￥1.28
1K,,"R2, R8, R16, R17, R18, R21, R23, R24, R26, R27, R31, R33",R0603,1K,12,,C880900,贴片电阻,1kΩ ±1% 0.1W,SR06X1001FTL,华新科(Walsin),603,12,0.258924,,200,0.021577,￥4.32
10K,,R6,R0603,NC,1,,,,,,,,1,0,,,,
1M,,"R7, R11, R14, R15",R0603,1M,4,,C22935,贴片电阻,1MΩ ±1% 1/10W,0603WAF1004T5E,UNI-ROYAL(厚声),603,4,0.029884,,100,0.007471,￥0.75
3M,,"R12, R13",R0603,3M,2,,C23156,贴片电阻,3MΩ ±1% 1/10W,0603WAF3004T5E,UNI-ROYAL(厚声),603,2,0.02072,,100,0.01036,￥1.04
0R,,R20，R5,R0603,0R,2,,C100044,贴片电阻,0Ω ±1% 100mW,RC0603FR-070RL,YAGEO(国巨),603,2,0.013334,,100,0.006667,￥0.67
0.5R,,R22,R1206,0.5R,1,,C168608,贴片电阻,0.5Ω ±1%,WW12WR500FTL,华新科(Walsin),1206,1,0.059949,,50,0.059949,￥3.00
33K,,"R25, R30",R0603,33K,2,,C352329,贴片电阻,33kΩ ±1% 100mW,AECR0603F33K0K9,RESI(开步睿思）,603,2,0.040734,,100,0.020367,
1R,,"R34, R35",R1206,1R,2,,C102295,贴片电阻,1Ω ±5% 1/4W,CR1206J401R0G,LIZ(丽智电子),1206,2,0.049056,,100,0.024528,￥2.45
100K,,"R222, R227",R0603,100K,2,,C14675,贴片电阻,100kΩ ±1% 100mW,RC0603FR-07100KL,YAGEO(国巨),603,2,0.013304,,100,0.006652,￥0.67
ES7P0693FHTF,,U1,TSOP20,ES7P0693FHTF,1,,,,,,,,1,0,,,,
AS01C(AI01),,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,AS01C(AI01),1,,C389617,触摸传感器,AS01C(AI01),AS01C(AI01),Sam&wing(芯网),SOT-23-6,1,1.3982,,10,1.3982,￥13.98
HE4054B,,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,HE4054B,1,,C841234,电池管理,4054,LTH7R.,FM富满,SOT-23-5,1,0.597374,,5,0.597374,￥2.99
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.249215,,,,
